Job Title,Job Description
Machine Learning,"1 Develop and implement lesson plans that fulfill the requirements of the artificial intelligence and machine learning curriculum program for kids aged 618 years
2 Develop projects related to computer vision face recognition optical character recognition speech recognition etc
3 Develop a personalized curriculum teaching materialsaids lesson plans homework projects and quizzes online for artificial intelligence and machine learning
4 Effectively prepare material for STEM curriculum
5 Develop innovative teachinglearning material TLM
Other requirements
 Must have an appropriate academic qualification in scienceengineering background
 Bachelor of Technology BTech Masters in Science MSc or Masters in Technology MTech with a specialization in Artificial Intelligence
 Teaching experience for a minimum of 1 year is mandatory
 Should have experience in designing curriculum and lesson plans using open source platforms
 Proper knowledge of artificial intelligencemachine learning and related technologies
 Subject matter knowledge in a majority of these areas teachable machine Chatbot NLP NLU Deep learning neural network Google collab Google Automl Jupiter Kaggle Knime Weka PyTorch RapidMiner TensorFlow Keras Python libraries etc
 Should have an understanding of data science processes
Parttime hours 20 per week
Job Type Parttime
Salary 400000 600000 per month
Benefits
Work from home
Schedule
Flexible shift
Experience
Teaching AI 1 year Preferred
Total work Teaching AI 1 year Required
Education
Bachelors Required
Work Remotely
Yes"
Software Engineer,"Job Description
Designs develops troubleshoots and debugs software programs for software enhancements and new products Develops software including operating systems compilers routers networks utilities databases and Internetrelated tools Determines hardware compatibility andor influences hardware design
Responsibilities
Codes and programs enhancements updates and changes for portions and subsystems of systems software including operating systems compliers networking utilities databases and Internetrelated tools
Executes established test plans and protocols for assigned portions of code identifies logs and debugs assigned issues
Develops understanding of and relationship with internal and outsourced development partners on software systems design and development
Participates as a member of project team of other software systems engineers and internal and outsourced development partners to develop reliable cost effective and high quality solutions for low to moderately complex products
Education and Experience Required
Bachelors or Masters degree in Computer Science Information Systems or equivalent
Typically 02 years experience
Knowledge and Skills
Experience or understanding of software systems design tools and languages
Good analytical and problem solving skills
Understanding of design for software systems running on multiple platform types
Understanding of basic testing coding and debugging procedures
Good written and verbal communication skills mastery in English and local language
Job
Engineering
Micro Focus is proud to be an Equal Opportunity Employer Prospective employees will receive consideration without discrimination because of race colour religion creed gender national origin age disability marital or veteran status sexual orientation genetic information citizenship or any other legally protected status"
iOS Developer,"JOB DESCRIPTION
Minimum 25 years of experience in developing iOS app
Proficient with the languages tools and frameworks core to iOS development including ObjectiveC Swift Cocoa Touch Cocoapods XCode Android Studio etc
Experience with various iOS frameworks such as Core Data Core Animation React Native etc
Experience with offline storage threading and performance tuning
Proficient understanding of code versioning tools such as GitAzure DevOps
Knowledge of material designs and other UIUX standards
Understanding of Apple design principles and interface guidelines
Knowledge of lowlevel Cbased libraries is preferred
Familiarity with cloud message APIs and push notifications
Apply Now"
Wordpress Developer,"5
Experience Level
3 to 5 years
Preference to
The immediate joiner serving the Notice Period
Job Description
Responsible to translate the design wireframe to WordPress framework with the help of WordPress Component Plugins and modules
Responsible for handling WordPress and its componentsplugins upgrade customization creation of web application and portal development independently
Utilize Word Press to setup and manage websites including advanced video
Should know in and out of Word Press
Should have a strong understanding of Logic and Data Structure
Passion for best design and coding practices and a desire to develop new bold ideas
Code and modify custom applications using CMS Platforms
Responsible for both backend and frontend development including Modifying Joomla WordPress themes and plugins
Strong MySQL database skills
Comfortable working with frontend technologies HTML CSS Jquery JavaScript
Experience of CMS like WordPress Joomla Drupal
The candidate should have a strong understanding of industry trends and content management systems
Experience with a responsive and adaptive design is strongly preferred
Also an understanding of the entire web development process including design development and deployment is preferred
Having experience of WooCommerce Customization WooCommerce developsmodifies addons WooCommerce API WordPressWooCommerce Webhooks WooCommerce Payment Gateway development
Apply Now"
Backend Developer,"Build and optimize Back End for Mobile Web applications
Strong knowledge in building RESTful API and knowledge of GIT
Cloud development experience using AWS and deployment process
Familiarity with database technology such as MongoDB MySQL and Postgresql
Design develop new microservices and integrate them with existing REST Web Services
2 years of professional experience with Nodejs and Express
Deliver high quality innovative flexible costoptimized and scalable technical solutions that meet business requirements
Develop construct test and maintain architecture with databases large scale data processing
Preference
We prefer candidates from Kerala
Benefits
High technology exposure
Good salary as per the industry standards
Flexible work environment and work time
Work from Home facility
Application Deadline 15122020
Expected Start Date 412021
Job Type Fulltime
Salary 2000000 4000000 per month
Benefits
Flexible schedule
Work from home
Schedule
Day shift
Flexible shift
Experience
Programming 1 year Preferred
work 1 year Preferred
total work 1 year Preferred
Education
Secondary10th Pass Preferred
Work Remotely
YESOCCASIONALLY"
Network Administrator,"Company description
ARMSOFTECHAIR provides state of the art and most advanced IT ITES infrastructure for our clients We have extensive experience of managing the depth and breadth of services enabling our clients to derive significant benefits in terms of reduced service provisioning turnaround time reduced customer churn and enhanced customer satisfaction Our products services are developed and managed by personnel having many man years of carefully gleaned experience in the BFSI industry
Job description
Warm Greetings
We have an Excellent Job Offer for Network Expertise
Skill Network EngineerCNACCNP Certified35 8 Years of Experience
Work Location Chennai
Employment Type Permanent
Interested
Drop your resume for further Process
Application Deadline 31102020
Expected Start Date 19102020
Job Type Fulltime
Salary From 1000000 per month
Experience
8 3 years Preferred
7 3 years Preferred
Education
Bachelors Required
Work Remotely
No"
iOS Developer,"Responsibilities and Duties
 Understand client requirements and how they translate in application features on a design level
 Collaborate with a team of IT professionals to set specifications for new applications
 Write quality source code to program complete applications within deadlines
 Evaluate existing applications to reprogram update and add new features
 Develop technical documents and handbooks to accurately represent application design and code
Requirements
 Proven experience as a Native application developer for at least 2 years
 Understanding the Wireframes with reference to UX Material Design
 Ability to program in the programming language such as C Java and Swift
 Indepth knowledge of programming for diverse operating systems and platforms using development tools such as Xcode Android Studio and Visual Studio
 Excellent understanding of software design and programming principles
 A team player with excellent communication skills and handson working with the distributed version control system
Qualifications
 Bachelors degree or equivalent
Note Training will be given on the framework which we pursue initially
Shift Timings Monday to Friday from 130 pm to 1030 pm UK Shift
Interview Process from our Technical Team
Level 1 Telephonic Video Call to review candidate
Level 2 Technical Task for the candidate Task will be provided
Level 3 Video Call to review candidate Technical Task
Job Type Fulltime
Salary 1899100 3521200 per month
Experience
total work 2 years Required
Education
Bachelors Preferred
Work Remotely
No"
DevOps Engineer,"We are looking for someone who could help us creating and maintaining the development platforms and processes that enable automation of builds and releases as the engineering organization grows
You will be collaborating with development infrastructure and QA teams to drive productivity repeatability and quality improvements for our products
Thence we are excited to welcome dynamic robust engineers like you whose have 
34 years of systems administration and configuration experience with 2 years of experience focused on cloudhosted commercial facing environments
Cloud deployment automation experience
Experience with log consolidation reporting and alerting frameworks such as ELK
Experience automating the configuration of and administration of load balancers DNS firewalls and cloud based networks
Detailed knowledge of cloud infrastructure management
Familiarity with Unix FreeBSDLinux operating systems tools and utilities
Containerization and Cloud Docker Kubernetes Amazon Web Services
Familiarity with migration of services and server to the cloud and containers
Ability to design and configure virtual network topologies especially in Amazon Web Services AWS
Experience designing configuration management systems using tools such as Chef Ansible Puppet Salt Jenkins
Ability to provision monitor optimize and scale AWS infrastructure using APIs
Strong coding capability in one or more languages especially bash and Python
Experience with automation and workflow management
Experience with Docker highly preferred
Experience with application load balancing solutions for scaling and HA
Linux administration experience
Well versed in internet architectures including web application and database components such as Apache Nginx memcache MySQL etc
Deep understanding of firewalls NAT and packet filtering specifically Iptables
General Networking skills os a BIG plus Layer 2 3 switches TCPIP SNMP etc"
Java Developer,"Software Developer Web
2200 S Lakeside Drive Waukegan IL 60085
Uncover your full potential in a collaborative environment where youll design develop and deliver custom solutions to big challenges And youll be doing it for a proven industry leader that runs one of the largest ecommerce sites in the US
Better together than apart This position is onsite and we are looking for good people who share our passion
Uline is proud to operate as a drugfree workplace All new hires must complete a preemployment drug screening
Position Responsibilities
Design and develop multitier web applications for customers and internal users using ASPNET MVC SQL JavaScript frameworks and jQuery
Enhance and support ecommerce and mobile sites as well as sales intranet and web applications that support business activities
Design develop maintain and enhance systems based on business requirements using approved technologies and coding standards
Monitor and optimize systems to ensure best performance
Perform unit testing using tools like MSTest NUnit and Jasmine and mocking frameworks like Moq
Document code appropriately for maintainability
Communicate with product owners and business analysts to gather accurate specifications for new enhancements and applications
Assist with work estimating based on requirements and technical designs
Translate requirements and use cases into technical designs and functional code
Collaborate with different teams and team members on projects
Act as a mentor to other developers with programming issues
Perform design and code reviews and help maintain code quality performance and application responsiveness
Minimum Requirements
Bachelors degree in information technology computer science or related field
5 years web development experience
Strong understanding of objectoriented design web application architecture and relational database design
Proficient in ASPNET MVC C and JavaScript with solid understanding of their ecosystem
Experience using TSQL with an ability to write SQL queries and stored procedures
Clientside scripting experience with JavaScript frameworks such as Angular and jQuery a plus
Experience with Microsoft Visual Studio MVS and SQL Server Management Studio SSMS
Experience using Team Foundation Server TFS for work management a plus
Proficient understanding of code versioning tools like Git and CICD tools like Jenkins
Benefits
Complete insurance coverage that includes medical dental vision and life insurance Flexible Spending Accounts and wellness programs
401k with 5 employer match
Paid holidays and generous paid time off
Bonus programs include annual performance sales goals and profit sharing
Scholarship program for children of employees
Employee Perks
Onsite caf with executive chefs and seasonal dinnertogo options
First class fitness center with complimentary personal trainers
Over four miles of beautifully maintained walking trails
Numerous employee appreciation events throughout the year
Professional development classes and monthly inhouse speakers
About Uline
Uline is the leading distributor of shipping industrial and packaging materials to businesses throughout North America Were a familyowned company whose incredible service huge inventory and quality products fuel our ongoing expansion and growth We offer sameday shipping on over 37500 products in our 812page catalog and on our stateoftheart ecommerce website
Uline provides the essential supplies needed to keep organizations operational and productive To protect the health and safety of our employees we have modified our normal operating policies in response to COVID19
Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family
Unfortunately Uline is unable to offer US work sponsorship at this time
EEOAA EmployerVetDisabled
LISN1
ZR
CORP"
JavaScript Developer,"We are looking for a Fullstack Javascript Developer to help us build medium to largescale high performance web applications Your primary focus will be the development of all serverside logic definition and ensuring high performance and responsiveness to requests from the frontend You will also be responsible for developing frontend elements using various Javascript frameworks like Reactjs Angularjs Nodejs Therefore handson experience on frontend technologies including HTML CSS from ground up is critical as well
Skill Requirements
Knowhow of frontend technologies such as HTML5 CSS3 and understanding of preprocessors like SASSSCSS JS and jQuery
Knowledge of JS frameworks atleast one of the following
Angular 45
Nodejs
Reactjs
Vuejs
Strong or intermediate proficiency with web related protocols and architectures MVC REST APIs JSON HTTP
Excellent understanding of OOP patterns and methodologies
Experience with responsive web design and development
Experience with crossbrowser compatibility
Handson experience in frontend Javascript development to atleast ES5ES6 specification is a plus
Experience in developingbuilding SPAs to medium to large scale web applications in Angular React is a plus
Understanding of importance and implementation of accessibility and security compliance in web applications is a plus
Strong customer focused approach excellent problem solving and analytical skills"
